Time,tluft,month,wind,wind_dir,rh,global,mslp
1/1/2019 0:00,7.7,1,6.1,212,87,0,1008.8
1/1/2019 1:00,7.2,1,4.3,197,88,0,1006.8
1/1/2019 2:00,8.5,1,7.3,233,87,0,1004.9
1/1/2019 3:00,8.3,1,8.7,249,78,0,1002.7
1/1/2019 4:00,7.3,1,10.4,265,74,0,1002.3
1/1/2019 5:00,7.2,1,11.2,259,77,0,1000.7
1/1/2019 6:00,6.9,1,9.8,255,77,0,999.8
1/1/2019 7:00,6.9,1,9.8,260,72,0,998.6
1/1/2019 8:00,7,1,10.2,264,71,0,997.9
1/1/2019 9:00,7.1,1,8.7,265,69,1.5,998.5
1/1/2019 10:00,7.4,1,7.3,269,68,25.41,998.4
1/1/2019 11:00,7.7,1,9.2,279,69,73.34,998
1/1/2019 12:00,7.7,1,8.7,283,68,113.87,998.1
1/1/2019 13:00,7.5,1,7.6,289,68,111.15,998.3
1/1/2019 14:00,7.8,1,9.4,307,62,72.62,998.8
1/1/2019 15:00,7.6,1,7.4,311,61,24.62,999.7
1/1/2019 16:00,7.7,1,7,326,58,5.43,1000.6
1/1/2019 17:00,7.4,1,5.4,334,59,0.44,1002.6
1/1/2019 18:00,7,1,5.8,326,59,0,1004.6
1/1/2019 19:00,6.4,1,6.8,319,58,0,1005.9
1/1/2019 20:00,5.7,1,6.3,326,58,0,1007.1
1/1/2019 21:00,5.6,1,7.3,342,54,0,1008.6
1/1/2019 22:00,5.4,1,7.8,341,48,0,1010.2
1/1/2019 23:00,5.3,1,8.6,345,48,0,1012
1/2/2019 0:00,4.6,1,9.6,343,48,0,1013.9
1/2/2019 1:00,4.2,1,9.8,341,51,0,1015.7
1/2/2019 2:00,3.5,1,7.5,342,42,0,1017.7
1/2/2019 3:00,3.2,1,7.1,341,47,0,1019.5
1/2/2019 4:00,2.8,1,6.6,351,47,0,1020.9
1/2/2019 5:00,2.3,1,4.7,349,46,0,1022.3
1/2/2019 6:00,2,1,6.2,339,49,0,1023.5
1/2/2019 7:00,1.7,1,4.8,342,50,0,1024.6
1/2/2019 8:00,1.6,1,5.1,343,50,0,1026
1/2/2019 9:00,1.2,1,5.1,341,49,1.76,1027.1
1/2/2019 10:00,1.2,1,5.3,329,55,31.52,1028.3
1/2/2019 11:00,1.6,1,4.8,322,54,86.02,1029.5
1/2/2019 12:00,2.2,1,5.2,330,55,132.93,1030
1/2/2019 13:00,2.8,1,5.5,341,53,143.22,1030.4
1/2/2019 14:00,3,1,5.1,339,51,117.04,1030.5
1/2/2019 15:00,2.8,1,4.6,341,53,62.26,1031.1
1/2/2019 16:00,2.1,1,3.7,338,54,9.84,1031.4
1/2/2019 17:00,1.7,1,3.3,327,55,0.09,1031.7
1/2/2019 18:00,1.4,1,3.4,338,56,0,1031.9
1/2/2019 19:00,0.4,1,1.1,17,60,0,1032.1
1/2/2019 20:00,0,1,1.3,327,64,0,1031.9
1/2/2019 21:00,0.3,1,1.5,307,62,0,1031.9
1/2/2019 22:00,-1.2,1,1.2,291,73,0,1031.6
1/2/2019 23:00,-0.8,1,1.2,9,73,0,1031.3
1/3/2019 0:00,-1.2,1,0.6,18,75,0,1031.6
1/3/2019 1:00,-1.8,1,0,0,81,0,1031.9
1/3/2019 2:00,-1.2,1,0.8,29,82,0,1032
1/3/2019 3:00,-0.5,1,1.1,23,82,0,1032.5
1/3/2019 4:00,0.1,1,0.8,39,82,0,1032.2
1/3/2019 5:00,0.7,1,0,0,71,0,1032
1/3/2019 6:00,0.6,1,0.6,353,72,0,1032.3
1/3/2019 7:00,0.2,1,0.6,5,72,0,1032.8
1/3/2019 8:00,0.3,1,0,0,70,0,1033.2
1/3/2019 9:00,0.6,1,0,0,69,2.42,1033.9
1/3/2019 10:00,0.6,1,0,0,71,24.93,1034.7
1/3/2019 11:00,1,1,0,0,69,48.03,1034.6
1/3/2019 12:00,2.7,1,0,0,65,117.65,1034.6
1/3/2019 13:00,2.8,1,0,0,66,74.68,1034.2
1/3/2019 14:00,2.9,1,0,0,64,64.29,1033.7
